Model,Selling Price,Kilometers Driven,Year,Owner,Fuel Type,Transmission,Car Condition,current price
139,296899.0,63546.0,2011.0,1,1,1,4.0,1389171.0
138,330699.0,26939.0,2015.0,1,1,1,4.5,781248.0
74,801499.0,26151.0,2017.0,1,1,1,4.6,1133100.0
266,484699.0,67407.0,2015.0,1,0,1,4.5,1386406.0
226,556363.0,11784.0,2018.0,1,1,1,4.9,1015818.0
250,301599.0,121435.0,2013.0,1,2,1,3.9,1232272.0
148,275099.0,82682.0,2009.0,2,1,1,3.9,832934.0
90,237899.0,27748.0,2013.0,1,1,1,4.4,1164328.0
249,248899.0,70903.0,2010.0,2,2,1,4.3,1313994.0
232,538199.0,78713.0,2015.0,1,1,1,4.3,792338.0
232,495899.0,56518.0,2013.0,2,1,1,4.4,1275799.0
148,168099.0,119575.0,2009.0,3,1,1,4.5,1410537.0
187,479500.0,10412.0,2019.0,1,1,1,4.8,755713.0
33,330799.0,71800.0,2014.0,1,1,1,4.3,1254010.0
111,263299.0,49419.0,2011.0,2,1,1,4.3,1198549.0
27,177499.0,109104.0,2013.0,1,0,1,4.1,1030344.0
91,338999.0,3308.0,2018.0,1,1,1,4.1,980121.0
250,322321.0,43781.0,2015.0,1,2,1,4.5,1380280.0
220,420299.0,34146.0,2013.0,1,1,1,4.2,1212419.0
200,473899.0,107589.0,2015.0,1,1,1,4.2,1319010.0
81,561299.0,79445.0,2015.0,1,0,1,4.3,836624.0
86,728166.0,32307.0,2017.0,1,0,1,4.5,923723.0
7,144097.0,98452.0,2012.0,2,0,1,4.1,1273126.0
174,255299.0,38617.0,2012.0,1,1,1,4.5,1310442.0
51,259899.0,99003.0,2009.0,2,1,1,4.6,1232064.0
237,390399.0,92527.0,2015.0,1,0,1,4.3,1478894.0
84,514299.0,169453.0,2014.0,1,0,1,4.1,1426969.0
171,174699.0,34854.0,2010.0,1,1,1,4.0,1034224.0
49,266099.0,65667.0,2013.0,2,1,1,4.1,995444.0
333,926599.0,143740.0,2014.0,2,0,1,4.2,855230.0
137,180599.0,89576.0,2009.0,2,1,1,4.3,1053247.0
310,464899.0,137352.0,2011.0,1,0,1,4.2,1192451.0
210,530899.0,98137.0,2015.0,1,2,1,4.6,1304278.0
108,486299.0,41100.0,2017.0,1,0,1,4.5,824655.0
250,346799.0,56607.0,2014.0,1,2,1,4.3,1454449.0
225,131199.0,150248.0,2008.0,3,1,1,4.3,810306.0
91,204799.0,83546.0,2014.0,2,1,1,3.9,1152397.0
320,274499.0,21763.0,2011.0,1,1,1,4.7,1231724.0
228,305199.0,122165.0,2013.0,1,0,1,4.3,1164562.0
230,352499.0,46299.0,2012.0,1,0,1,4.2,938563.0
249,318079.0,18325.0,2013.0,1,1,1,4.5,885435.0
288,427799.0,63473.0,2012.0,2,0,1,4.3,1445218.0
133,228099.0,79620.0,2007.0,3,1,1,3.8,1369709.0
328,1045599.0,96301.0,2012.0,2,0,1,4.4,1141318.0
349,256099.0,42069.0,2012.0,1,1,1,4.1,765214.0
188,362199.0,123057.0,2016.0,2,2,1,4.2,1289618.0
101,413899.0,34558.0,2016.0,1,1,1,4.9,777562.0
249,267599.0,32808.0,2012.0,1,1,1,4.0,1494625.0
5,551681.0,94020.0,2008.0,1,1,0,4.2,1418250.0
230,316838.0,75435.0,2012.0,1,0,1,4.4,1008595.0
55,478699.0,40028.0,2013.0,2,1,1,4.3,862970.0
224,187199.0,9961.0,2008.0,1,1,1,4.3,1462864.0
18,440099.0,151247.0,2014.0,1,0,1,4.1,1221049.0
182,571599.0,63898.0,2016.0,1,0,1,4.5,1309599.0
55,369099.0,74017.0,2012.0,3,1,1,4.4,1154704.0
178,524399.0,76914.0,2015.0,1,1,1,4.6,946895.0
188,535599.0,9878.0,2019.0,1,2,1,4.7,795187.0
148,218799.0,86164.0,2009.0,2,1,1,4.2,1321020.0
217,344399.0,64475.0,2015.0,1,0,1,4.6,1256845.0
174,322699.0,8604.0,2018.0,1,1,1,4.9,1200940.0
217,271299.0,54237.0,2013.0,1,0,1,4.4,1144060.0
27,176499.0,108709.0,2014.0,1,0,1,4.3,1423576.0
237,373299.0,154513.0,2015.0,2,0,1,4.8,1106545.0
101,383399.0,35915.0,2015.0,1,1,1,4.4,832919.0
148,171699.0,222973.0,2010.0,1,1,1,4.2,1054652.0
238,213413.0,79169.0,2009.0,1,1,1,4.2,1183657.0
229,327699.0,59387.0,2011.0,1,1,1,4.0,1065147.0
152,253199.0,74934.0,2010.0,1,1,1,4.2,880322.0
124,498099.0,120745.0,2014.0,1,0,1,4.3,1359171.0
249,199599.0,65611.0,2011.0,2,1,1,4.0,1380101.0
55,423299.0,136859.0,2013.0,1,1,1,4.3,989463.0
179,630780.0,69278.0,2016.0,1,0,1,4.5,1400568.0
249,320699.0,70993.0,2015.0,1,1,1,4.0,1461032.0
25,141599.0,49821.0,2010.0,3,1,1,4.2,1329969.0
274,335999.0,14665.0,2019.0,1,1,1,4.4,1327051.0
184,665315.0,20333.0,2017.0,1,1,1,4.9,814985.0
144,500599.0,56580.0,2014.0,1,1,1,4.2,921131.0
39,256399.0,125008.0,2013.0,1,0,1,4.7,1043090.0
230,418499.0,107099.0,2012.0,2,0,1,4.2,755188.0
180,453299.0,90025.0,2015.0,1,1,1,4.3,1271206.0
320,344599.0,89919.0,2012.0,1,0,1,4.3,1084094.0
230,449999.0,42679.0,2013.0,1,0,1,4.6,1377307.0
230,441299.0,70192.0,2012.0,2,0,1,4.5,763742.0
210,605499.0,24825.0,2015.0,1,0,1,4.7,766247.0
226,433099.0,79144.0,2014.0,1,0,1,4.6,1421874.0
236,366699.0,73411.0,2015.0,1,1,1,4.4,824345.0
162,528099.0,50455.0,2017.0,1,0,1,4.6,1057075.0
171,173399.0,29879.0,2008.0,1,1,1,4.0,1460048.0
74,925999.0,9294.0,2019.0,1,1,1,4.9,1096524.0
152,291899.0,63467.0,2013.0,2,1,1,4.5,1299059.0
281,227999.0,64274.0,2010.0,1,1,1,4.1,1004763.0
226,388499.0,72754.0,2014.0,1,0,1,4.2,800817.0
236,109199.0,98656.0,2009.0,1,1,1,4.2,958048.0
277,301599.0,40290.0,2016.0,1,1,1,4.5,757332.0
101,335499.0,42170.0,2014.0,2,1,1,4.2,1110737.0
36,321799.0,45278.0,2013.0,2,1,1,4.2,973069.0
226,371399.0,60422.0,2013.0,2,0,1,4.1,1176244.0
139,248599.0,210904.0,2013.0,1,2,1,4.0,1074187.0
175,389703.0,23963.0,2016.0,1,2,1,4.8,1434129.0
201,691699.0,11404.0,2017.0,1,1,1,4.9,839501.0
274,379999.0,38933.0,2016.0,1,1,1,4.6,1043336.0
266,322068.0,103665.0,2013.0,1,0,1,4.4,900406.0
165,1167456.0,49189.0,2018.0,1,0,1,4.5,1089006.0
347,592599.0,59325.0,2015.0,1,0,1,4.4,1068832.0
237,429499.0,66476.0,2015.0,1,0,1,4.5,1357474.0
187,232199.0,148559.0,2015.0,1,0,1,4.3,1330500.0
142,305199.0,114748.0,2012.0,1,1,1,4.3,1121527.0
168,889799.0,84778.0,2015.0,2,0,1,4.6,1472097.0
249,250499.0,98462.0,2012.0,1,1,1,4.3,916235.0
349,206083.0,73625.0,2012.0,1,0,1,4.3,1465702.0
91,186399.0,129837.0,2013.0,1,2,1,3.8,1124237.0
40,370899.0,113188.0,2014.0,1,0,1,4.3,1140237.0
138,221199.0,33582.0,2013.0,2,1,1,4.5,1458809.0
249,310199.0,48335.0,2013.0,1,1,1,4.2,1446712.0
6,1011799.0,63035.0,2013.0,2,0,0,4.3,788181.0
126,270500.0,71292.0,2011.0,3,1,1,3.9,854645.0
237,419699.0,46856.0,2015.0,1,0,1,4.5,1044636.0
111,254899.0,20500.0,2014.0,1,2,1,4.4,825378.0
152,309599.0,78129.0,2011.0,1,1,1,4.2,932480.0
138,264950.0,57657.0,2013.0,1,1,1,3.8,897369.0
306,336599.0,125598.0,2017.0,1,0,1,4.2,879587.0
219,282599.0,45651.0,2014.0,1,1,0,4.3,1285822.0
53,861999.0,28213.0,2019.0,1,1,1,4.9,826259.0
172,274599.0,24679.0,2012.0,3,1,1,4.3,847928.0
174,214599.0,58304.0,2015.0,2,1,1,4.1,800658.0
178,556999.0,16232.0,2016.0,2,1,1,4.0,1212197.0
232,459599.0,70649.0,2015.0,1,1,1,4.9,953913.0
105,436399.0,247836.0,2016.0,1,1,1,4.6,1406975.0
232,384799.0,95093.0,2013.0,1,1,1,4.1,1248620.0
314,144099.0,98229.0,2007.0,1,1,1,4.2,1390626.0
299,657699.0,21127.0,2018.0,1,1,1,4.4,1085038.0
230,516399.0,32957.0,2014.0,1,0,1,4.4,1401256.0
73,1188855.0,108963.0,2016.0,1,0,0,4.0,974062.0
103,436499.0,6587.0,2016.0,1,1,1,4.6,1394068.0
274,304827.0,9495.0,2016.0,1,1,1,4.8,900028.0
142,199500.0,56973.0,2010.0,2,1,0,4.2,945082.0
226,281699.0,163408.0,2009.0,1,0,1,4.1,1493390.0
182,597099.0,32865.0,2016.0,1,0,1,4.6,1343448.0
249,408399.0,31796.0,2015.0,1,1,1,4.3,1428932.0
51,398999.0,75713.0,2010.0,2,2,1,4.3,1173990.0
35,552899.0,14358.0,2018.0,1,1,1,4.6,1460103.0
101,480699.0,10172.0,2017.0,1,1,1,4.8,1187146.0
13,291099.0,46437.0,2014.0,2,0,1,4.2,1351987.0
93,300799.0,26754.0,2014.0,1,1,1,4.4,1461355.0
37,409299.0,123934.0,2015.0,2,0,1,4.3,1348715.0
266,305864.0,93733.0,2013.0,2,0,1,4.3,1399435.0
230,335700.0,89383.0,2014.0,1,0,1,4.3,857165.0
171,111799.0,98526.0,2008.0,3,1,1,4.0,1075230.0
171,171299.0,13966.0,2011.0,1,1,1,4.4,1102061.0
